query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp
0	53005301606.663719	1491598501.622453	-1.000000	179375287.324005	53360750980.879997	0.026291	0.000000	0.002000	1.190000	0.027953	0.003362
1	16156411999.999729	565414971.574743	-1.000000	103673489.957448	15989749364.080000	0.017244	0.001000	0.003000	0.931000	0.035361	0.006484
2	53373249599.996101	1599157709.238259	-1.000000	178701011.652339	52859857674.959999	0.023214	0.000000	0.002000	1.004000	0.030253	0.003381
3	57204427360.008072	1486236559.640974	-1.000000	177903837.124959	56214324371.800003	0.035821	0.000000	0.002000	1.084000	0.026439	0.003165
4	35967834093.331741	1223090292.704360	-1.000000	292207356.735638	34911777907.519997	0.018116	0.001000	0.008000	1.009000	0.035034	0.008370
5	60957869279.995392	1706120754.487612	-1.000000	164091392.661964	61266029568.480003	0.026513	0.001000	0.003000	1.160000	0.027848	0.002678
6	68197747966.662750	1670191899.983771	-1.000000	192087703.767622	66945754192.919998	0.034349	0.001000	0.003000	1.307000	0.024948	0.002869
7	98442925439.993912	1990768377.201300	-1.000000	180780252.407961	100330078967.000000	0.049582	0.001000	0.002000	1.218000	0.019842	0.001802
8	11478392180.000175	695268789.285578	-1.000000	226594857.303337	10795179753.240000	0.005781	0.000000	0.003000	0.961000	0.064405	0.020990
9	16509954959.999540	896680624.078499	-1.000000	173366890.824600	16790164520.400000	0.007181	0.001000	0.002000	0.843000	0.053405	0.010326
10	73402167859.995712	1730396169.818885	-1.000000	208360645.116777	73007966132.020004	0.036970	0.001000	0.002000	0.964000	0.023701	0.002854
11	105316402560.003571	2220220541.480381	-1.000000	352849785.247487	105812224726.320007	0.045806	0.000000	0.002000	0.983000	0.020983	0.003335
12	13534843199.999819	812408182.159237	-1.000000	152215778.239207	14508879467.760000	0.005887	0.001000	0.003000	0.916000	0.055994	0.010491
13	31932203413.332035	1153625571.857892	-1.000000	314483975.213175	33315884447.220001	0.016083	0.001000	0.002000	0.966000	0.034627	0.009439
14	14984759819.999924	793690230.290241	-1.000000	227621871.204424	14969047323.500000	0.007547	0.001000	0.002000	0.929000	0.053022	0.015206
15	51239278059.997307	1454102865.110933	-1.000000	171506540.940091	51406128233.360001	0.025807	0.000000	0.002000	0.953000	0.028287	0.003336
16	20619205933.332851	929694573.115911	-1.000000	213942116.825576	21045813996.200001	0.010385	0.001000	0.002000	0.864000	0.044175	0.010166
17	98773714839.993896	1993935486.508934	-1.000000	192045730.304281	100575193912.399994	0.049749	0.000000	0.003000	1.002000	0.019825	0.001909
18	35537807873.331772	1215890843.761659	-1.000000	157311477.945221	35217261918.419998	0.017899	0.001000	0.003000	0.941000	0.034525	0.004467
19	61901723053.329872	1593839718.586580	-1.000000	167374640.578074	61753617612.639999	0.031178	0.001000	0.002000	1.039000	0.025810	0.002710
20	60644723333.329964	1578089540.712869	-1.000000	176865444.126471	60594498476.099998	0.030545	0.000000	0.003000	1.000000	0.026043	0.002919
21	51481856953.330627	1457449432.843469	-1.000000	205020434.843774	51260448581.599998	0.025930	0.000000	0.003000	1.005000	0.028432	0.004000
22	67249485019.996155	1658949674.659657	-1.000000	269928166.908172	68181285680.860001	0.033871	0.001000	0.002000	0.979000	0.024331	0.003959
23	13775442373.333118	552966016.297315	-1.000000	202159098.976018	13541272760.480000	0.013934	0.000000	0.003000	0.930000	0.040836	0.014929
24	33693248773.333229	1150546045.751284	-1.000000	358499749.044916	34048159546.320000	0.018105	0.000000	0.002000	0.852000	0.033792	0.010529
25	13496207520.000031	753522099.132264	-1.000000	256522729.583115	12661989732.139999	0.006798	0.001000	0.002000	0.873000	0.059511	0.020259
26	49342752166.664116	1427638090.637113	-1.000000	204974149.714088	48694482126.860001	0.024852	0.000000	0.003000	0.945000	0.029318	0.004209
27	51600788520.000328	1423020537.732131	-1.000000	252775741.478811	51649552137.199997	0.031078	0.001000	0.001000	0.950000	0.027551	0.004894
28	89511611639.994553	1902801636.821726	-1.000000	175541078.304817	90251223659.460007	0.045084	0.001000	0.002000	1.063000	0.021083	0.001945
29	5402408319.999929	326290047.217788	-1.000000	107473081.786165	5325598147.840000	0.005815	0.001000	0.002000	1.036000	0.061268	0.020180
30	57002217146.672211	1487281626.465904	-1.000000	242883040.322014	56599721868.000000	0.036087	0.000000	0.002000	0.985000	0.026277	0.004291
31	37229786766.665321	1238355453.607655	-1.000000	401987827.302059	36471873676.250000	0.026918	0.001000	0.002000	0.941000	0.033954	0.011022
32	20693287519.999828	919544233.576769	-1.000000	161426554.141441	20893339471.200001	0.011479	0.000000	0.002000	0.937000	0.044011	0.007726
33	91562505919.994415	1923435556.819983	-1.000000	160275521.094845	90570270035.759995	0.046117	0.001000	0.003000	1.026000	0.021237	0.001770
34	91849190066.661057	1926298549.927080	-1.000000	229662087.589643	90221551850.279999	0.046261	0.000000	0.004000	1.104000	0.021351	0.002546
35	82434397959.994965	1838011782.881688	-1.000000	147301592.440739	83013177043.399994	0.041196	0.001000	0.002000	1.206000	0.022141	0.001774
36	43498806099.997864	1342454464.218567	-1.000000	268946098.249540	43881727909.440002	0.021909	0.000000	0.003000	0.956000	0.030593	0.006129
37	53755475279.997040	1497682738.794032	-1.000000	208071753.480229	53828374657.639999	0.026790	0.000000	0.003000	0.959000	0.027823	0.003865
38	61615038906.663231	1590263170.303198	-1.000000	129660442.865554	61022209170.300003	0.031033	0.001000	0.003000	1.004000	0.026060	0.002125
39	46189226553.331009	1382388746.205415	-1.000000	198044824.799307	46452788520.940002	0.023264	0.001000	0.002000	1.005000	0.029759	0.004263
40	36033931093.332039	1194380766.223978	-1.000000	261830049.594974	35276655688.320000	0.025935	0.000000	0.002000	0.963000	0.033858	0.007422
41	15995669333.333059	558221627.445332	-1.000000	0.000000	15699537895.040001	0.017216	0.000000	0.002000	0.903000	0.035557	0.000000
42	54701540446.663727	1501081806.253499	-1.000000	83698648.054182	54327594056.279999	0.027551	0.001000	0.003000	0.972000	0.027630	0.001541
43	95002715679.994171	1957456010.437374	-1.000000	203883023.579510	95928429815.899994	0.047850	0.001000	0.003000	1.081000	0.020405	0.002125
44	12357944533.333130	491634030.026053	-1.000000	41696610.605145	12204473825.920000	0.013301	0.001000	0.002000	0.955000	0.040283	0.003417
45	74802509653.328949	1746184357.690068	-1.000000	136683444.349058	74469823727.440002	0.037675	0.001000	0.002000	1.020000	0.023448	0.001835
46	59497986746.663383	1563563769.323058	-1.000000	267206813.734373	59107798596.739998	0.029967	0.000000	0.003000	0.975000	0.026453	0.004521
47	19798879359.999683	1059353817.088937	-1.000000	0.000000	19680835017.599998	0.007397	0.000000	0.003000	1.105000	0.053827	0.000000
48	6914257066.666567	368830804.228316	-1.000000	66310020.350814	6743289160.960000	0.007442	0.001000	0.002000	0.992000	0.054696	0.009833
49	20795626946.666172	933621487.048541	-1.000000	178179951.992296	20651612268.220001	0.010474	0.000000	0.004000	0.976000	0.045208	0.008628
50	47236776666.672844	1330107385.540345	-1.000000	273343522.319825	46512857208.800003	0.031522	0.001000	0.002000	0.969000	0.028597	0.005877
51	62684591299.996483	1603560242.557320	-1.000000	165978015.530605	61785141842.459999	0.031572	0.001000	0.002000	1.057000	0.025954	0.002686
52	74934295213.328140	1817590267.801643	-1.000000	132377513.588134	75751814930.559998	0.035182	0.000000	0.003000	1.152000	0.023994	0.001748
53	51592120086.663948	1458967777.908839	-1.000000	74864411.682363	51947299691.760002	0.025985	0.000000	0.003000	0.966000	0.028086	0.001441
54	43968473066.665031	1295678722.463890	-1.000000	163616476.356092	43961087578.239998	0.029523	0.001000	0.003000	1.088000	0.029473	0.003722
55	26782915086.665737	1057915503.823753	-1.000000	229734043.146454	27203094808.860001	0.013490	0.001000	0.002000	0.960000	0.038890	0.008445
56	78204684106.660461	1921165665.862015	-1.000000	96045996.053128	78576561788.020004	0.034166	0.000000	0.002000	1.058000	0.024450	0.001222
57	20085196559.999207	988240187.669555	-1.000000	394641379.392413	20250628096.320000	0.008736	0.001000	0.001000	0.854000	0.048800	0.019488
58	72746768723.332993	1811330317.455550	-1.000000	189324083.559322	73799730698.110001	0.044451	0.001000	0.002000	1.228000	0.024544	0.002565
59	10353376000.000000	617936756.175887	-1.000000	0.000000	10554996408.000000	0.005953	0.001000	0.003000	1.174000	0.058544	0.000000
60	12547944573.333431	726742923.841039	-1.000000	255707617.269330	12715875325.400000	0.006320	0.000000	0.002000	0.945000	0.057152	0.020109
61	35299783353.333313	1406844135.539273	-1.000000	86741632.908680	35014413163.580002	0.015222	0.000000	0.001000	0.892000	0.040179	0.002477
62	96954373139.994019	1976438966.016657	-1.000000	263801775.437357	97129658443.059998	0.048833	0.001000	0.002000	1.069000	0.020348	0.002716
63	60728032319.995415	1702988749.037891	-1.000000	125124768.963747	61036422445.440002	0.026413	0.006000	0.005000	1.226000	0.027901	0.002050
64	40587859379.998077	1297729644.387084	-1.000000	179484818.495013	40443006701.739998	0.020443	0.001000	0.004000	0.931000	0.032088	0.004438
65	61050409666.675812	1506587676.751171	-1.000000	207065329.784536	60875068431.239998	0.038803	0.000000	0.002000	1.032000	0.024749	0.003401
66	72366897019.997040	1907215445.077201	-1.000000	409295702.567180	72886274837.279999	0.040835	0.000000	0.003000	1.158000	0.026167	0.005616
67	18952288213.333004	606641370.104513	-1.000000	254106680.042643	19065965823.360001	0.020398	0.000000	0.002000	0.909000	0.031818	0.013328
68	86457003119.993011	2020258325.674501	-1.000000	0.000000	87287404056.479996	0.037603	0.000000	0.003000	1.185000	0.023145	0.000000
69	45560726693.331055	1373173869.582418	-1.000000	141699646.542006	45649764173.500000	0.022947	0.001000	0.004000	0.943000	0.030081	0.003104
70	16560485893.333208	756870344.015927	-1.000000	243938353.869097	16166522499.040001	0.012329	0.000000	0.001000	0.835000	0.046817	0.015089
71	112664753653.333588	2356722069.540445	-1.000000	128821855.351624	111796181689.479996	0.047644	0.001000	0.002000	1.030000	0.021081	0.001152
72	15675755946.666399	552708013.667308	-1.000000	0.000000	15663160647.040001	0.016872	0.001000	0.003000	1.044000	0.035287	0.000000
73	66323274699.996223	1647883617.698709	-1.000000	146558103.426816	65001043310.320000	0.033405	0.001000	0.002000	0.934000	0.025352	0.002255
74	59586197253.330040	1564686560.512881	-1.000000	148149503.634755	58583166608.339996	0.030012	0.001000	0.002000	0.950000	0.026709	0.002529
75	50632830826.664017	1445698754.897670	-1.000000	242535850.213590	51001043534.120003	0.025502	0.001000	0.002000	0.895000	0.028346	0.004756
76	76737879433.333542	2301040824.887855	-1.000000	214141265.863788	77720042563.679993	0.026574	0.000000	0.002000	0.918000	0.029607	0.002755
77	96634610053.327377	1973344093.698436	-1.000000	148148172.992684	96891390838.240005	0.048672	0.001000	0.003000	1.341000	0.020367	0.001529
78	70139606586.664154	2118985219.346222	-1.000000	524146639.883421	69610739287.600006	0.024941	0.001000	0.001000	0.998000	0.030440	0.007530
79	61156988346.662514	1657347248.221495	-1.000000	163881186.528440	60998324831.000000	0.028379	0.001000	0.002000	1.081000	0.027170	0.002687
80	19527600913.332928	905001671.051001	-1.000000	94202543.751133	20095753760.459999	0.009835	0.001000	0.003000	1.020000	0.045034	0.004688
81	18998337873.332966	892773296.462161	-1.000000	154315651.644201	18987476954.700001	0.009569	0.000000	0.003000	0.937000	0.047019	0.008127
82	68682905753.329384	1675910147.644715	-1.000000	168763196.783394	68429245415.099998	0.034593	0.001000	0.003000	0.980000	0.024491	0.002466
83	51845725293.330597	1462453316.145340	-1.000000	217176857.989743	53131922691.040001	0.026113	0.001000	0.003000	0.938000	0.027525	0.004088
84	81693955486.661774	1821555178.971139	-1.000000	185871585.094530	80172434509.800003	0.041146	0.001000	0.003000	1.013000	0.022720	0.002318
85	17432601379.999748	855534086.902087	-1.000000	103639950.064418	17584532951.419998	0.008780	0.001000	0.002000	1.356000	0.048653	0.005894
86	64481880373.329689	1625626069.494660	-1.000000	203876255.215867	63658402214.660004	0.032477	0.000000	0.003000	1.119000	0.025537	0.003203
87	93403900246.660950	1941735535.602036	-1.000000	222439272.391500	95330395659.639999	0.047044	0.001000	0.004000	1.481000	0.020368	0.002333
88	105656442273.337616	2182709386.354227	-1.000000	155589487.272036	106936503139.380005	0.047805	0.001000	0.002000	1.127000	0.020411	0.001455
89	47115436873.330940	1395846683.311285	-1.000000	164562335.258343	48141369171.120003	0.023730	0.001000	0.003000	1.034000	0.028995	0.003418
90	27667830719.999641	1089488174.553706	-1.000000	382913380.863843	27745498044.720001	0.014139	0.000000	0.001000	0.954000	0.039267	0.013801
91	18592471946.666401	641537401.712691	-1.000000	0.000000	18672226443.040001	0.018549	0.001000	0.002000	1.147000	0.034358	0.000000
92	50780260133.332161	1713526101.565185	-1.000000	133722285.781162	51456155353.839996	0.019032	0.000000	0.003000	0.869000	0.033301	0.002599
93	90691501359.993500	2054814637.504289	-1.000000	185394830.400669	89438754656.639999	0.040513	0.001000	0.001000	0.927000	0.022975	0.002073
94	14653970419.999947	784946842.870695	-1.000000	144956730.041989	14693698226.940001	0.007381	0.001000	0.002000	0.887000	0.053421	0.009865
95	26309759676.666405	1252620394.031495	-1.000000	147247043.446483	26340820829.950001	0.009663	0.000000	0.003000	0.933000	0.047554	0.005590
96	14918601939.999928	791949511.060130	-1.000000	134961460.053743	14975530795.740000	0.007514	0.000000	0.002000	0.935000	0.052883	0.009012
97	34447457946.671844	824336298.493045	-1.000000	333136926.020101	33392967966.959999	0.036593	0.000000	0.002000	0.922000	0.024686	0.009976
98	35449597366.665115	1214408356.700876	-1.000000	77918825.793621	35720425674.760002	0.017855	0.000000	0.003000	0.899000	0.033998	0.002181
99	78573508813.328674	1787891169.164707	-1.000000	210587994.473951	80353773258.880005	0.039575	0.000000	0.003000	1.073000	0.022250	0.002621
100	4747101866.666609	305969682.404666	-1.000000	26756997.215986	4775016889.600000	0.005109	0.001000	0.001000	0.893000	0.064077	0.005604
101	14236518533.333097	572941384.615957	-1.000000	211225655.084655	14019765259.680000	0.014217	0.001000	0.001000	0.832000	0.040867	0.015066
102	47474100959.996651	1510175733.716441	-1.000000	204814180.901191	46959483237.839996	0.020648	0.001000	0.003000	0.930000	0.032159	0.004362
103	39570379826.670044	1302404772.159614	-1.000000	192683482.094538	39227009276.400002	0.019637	0.000000	0.001000	0.844000	0.033202	0.004912
104	39242649153.331505	1276484232.036254	-1.000000	244498562.990849	39277767961.300003	0.019765	0.000000	0.003000	0.922000	0.032499	0.006225
105	67944142759.996101	1667193811.627971	-1.000000	57177739.170821	68076326204.239998	0.034221	0.000000	0.002000	1.055000	0.024490	0.000840
106	45240963606.664406	1368459419.906729	-1.000000	330593263.601982	44752001741.900002	0.022786	0.000000	0.002000	0.866000	0.030579	0.007387
107	83160455159.995010	1837123955.829901	-1.000000	138365838.720917	83399318185.740005	0.041885	0.001000	0.003000	1.035000	0.022028	0.001659
108	68410999326.662354	1708751420.711557	-1.000000	186708357.385323	68471344147.779999	0.033205	0.000000	0.003000	0.969000	0.024956	0.002727
109	84913638979.994888	1855532383.103875	-1.000000	165982891.304477	85003382144.220001	0.042768	0.000000	0.003000	1.027000	0.021829	0.001953
110	23012210579.999287	990622034.131418	-1.000000	243319696.659292	23671487171.480000	0.011407	0.000000	0.002000	0.847000	0.041849	0.010279
111	77606800539.997147	2128092670.596455	-1.000000	433333190.777699	78619562048.380005	0.032250	0.001000	0.001000	0.925000	0.027068	0.005512
112	16629895719.999538	873184530.588375	-1.000000	147877930.301293	16194925754.840000	0.007719	0.000000	0.002000	0.819000	0.053917	0.009131
113	29980545953.332176	1118373923.564797	-1.000000	285755292.239075	29083434074.220001	0.015100	0.000000	0.003000	0.895000	0.038454	0.009825
114	24756914879.999477	997591688.602420	-1.000000	357729105.078878	24666560814.720001	0.019749	0.001000	0.003000	0.975000	0.040443	0.014503
115	10887374933.333157	461826078.739683	-1.000000	273910390.685030	10585516013.440001	0.011718	0.000000	0.001000	0.848000	0.043628	0.025876
116	81455830706.666611	1922330997.131254	-1.000000	173381566.727070	80610836405.759995	0.037109	0.001000	0.002000	0.970000	0.023847	0.002151
117	53549697746.668686	1572279852.643196	-1.000000	141559764.170901	53920861745.400002	0.024208	0.000000	0.002000	0.867000	0.029159	0.002625
118	19983046799.999218	985746066.789358	-1.000000	371820126.530073	19938777647.759998	0.008691	0.000000	0.002000	0.803000	0.049439	0.018648
119	24195903146.666607	887405904.021359	-1.000000	120790359.088381	24504472553.599998	0.020037	0.001000	0.002000	1.081000	0.036214	0.004929
120	40190912099.998108	1291499964.492897	-1.000000	282473780.010895	40355413668.620003	0.020243	0.001000	0.002000	0.868000	0.032003	0.007000
121	25486365119.998703	1111893514.689244	-1.000000	137073584.987312	25487731373.040001	0.011085	0.000000	0.002000	0.843000	0.043625	0.005378
122	111879524640.008072	2284929629.740057	-1.000000	311576304.013722	112016979910.800003	0.048660	0.000000	0.002000	0.980000	0.020398	0.002782
123	68010300639.996101	1667976520.476955	-1.000000	172861864.799639	67518284486.440002	0.034254	0.001000	0.002000	0.923000	0.024704	0.002560
124	32516598019.998657	1163959883.120336	-1.000000	148142149.936985	32791914037.619999	0.016378	0.000000	0.003000	0.870000	0.035495	0.004518
125	35216528879.998756	1170418893.172111	-1.000000	0.000000	35253544518.720001	0.025763	0.001000	0.002000	1.106000	0.033200	0.000000
126	57324054893.342178	1466532330.702120	-1.000000	240442803.786584	57364813583.080002	0.036365	0.000000	0.002000	1.037000	0.025565	0.004191
127	67784108179.997208	1801020476.142619	-1.000000	716267182.811138	68277026924.489998	0.038864	0.001000	0.002000	1.181000	0.026378	0.010491
128	98950135853.327209	1995622077.962665	-1.000000	184646834.751873	98863656477.860001	0.049838	0.001000	0.002000	1.127000	0.020186	0.001868
129	24864336566.665878	1019818995.627614	-1.000000	178179951.992296	24309911479.639999	0.012523	0.000000	0.002000	0.865000	0.041951	0.007330
130	85314028566.659790	2004747494.426121	-1.000000	219289082.368037	85431844972.960007	0.037215	0.001000	0.001000	1.086000	0.023466	0.002567
131	48758357559.997490	1419372903.850407	-1.000000	124140255.646790	49193279463.120003	0.024558	0.000000	0.003000	1.001000	0.028853	0.002524
132	18452686093.332680	933520176.504825	-1.000000	113139282.969820	19307207774.980000	0.008297	0.000000	0.002000	0.937000	0.048351	0.005860
133	31843992906.665375	1152057074.050543	-1.000000	277478476.262165	31699912070.340000	0.016039	0.001000	0.002000	0.980000	0.036343	0.008753
134	52871172433.330528	1476453638.373644	-1.000000	202732898.135953	52269389330.540001	0.026629	0.000000	0.003000	0.914000	0.028247	0.003879
135	39742965273.339470	1138040176.334050	-1.000000	183946554.333272	39658385662.559998	0.029195	0.000000	0.002000	1.046000	0.028696	0.004638
136	95585153999.993103	2416372555.471988	-1.000000	294826603.378159	95322581731.960007	0.034088	0.000000	0.001000	0.858000	0.025349	0.003093
137	16731874396.666710	990606259.518706	-1.000000	476733217.438082	16413763785.610001	0.006442	0.000000	0.003000	1.043000	0.060352	0.029045
